route_id,index,from_stop,to_stop,metres,seconds,seconds_peak,seconds_offpeak,trips
11163,1,61847,61288,763.0,157,191.0,156,607
11163,2,61288,61647,349.0,72,87.5,71,607
11163,3,61647,61704,784.0,162,195.0,160,607
11163,4,61704,61585,479.0,98,118.0,98,607
11163,5,61585,61699,2197.0,453,543.0,448,607
11163,6,61699,61694,1557.0,321,381.5,318,607
11163,7,61694,61670,1736.0,358,424,354.0,607
11163,8,61670,61625,1267.0,261,299.0,258,607
11163,9,61625,73775,2120.0,437,499.0,433,607
11163,10,73775,61690,2421.0,499,564,494.0,607
11231,0,73238,61889,815.0,108,116.0,107,709
11231,1,61889,61894,756.0,100,107.0,98,709
11231,2,61894,61853,884.0,116,125.0,116,709
11231,3,61853,61883,732.0,97,104.0,95,709
11231,4,61883,61916,757.0,100,108,99.0,709
11231,5,61916,61859,593.0,78,84.0,78,709
11231,6,61859,62304,509.0,67,72.0,66,709
11231,7,62304,61912,658.0,87,94,86.0,709
11231,8,61912,61879,576.0,76,81,76.0,709
11231,9,61879,61875,846.0,112,120.0,110,709
11231,10,61875,74092,662.0,88,94,87.0,709
11231,11,74092,74208,743.0,98,106,97.0,709
11231,12,74208,61923,2144.0,283,304,280.0,709
11272,0,61430,61425,1138.0,177,184,157.5,35
11272,1,61425,61457,629.0,98,102.0,87,35
11272,2,61457,61413,794.0,124,128.0,110,35
11272,3,61413,61452,4456.0,694,721.0,615,35
11272,4,61452,61441,773.0,121,124.0,107,35
11272,5,61441,61444,1559.0,243,249.5,217,35
11272,6,61444,61511,1237.0,192,197,176.5,35
11272,7,61511,61221,1645.0,257,259.0,240,35
11272,8,61221,61166,471.0,73,75,70.0,35
11272,9,61166,61260,404.0,63,63.5,61,35
11272,10,61260,61203,5596.0,872,880.0,838,35
11272,11,61203,61210,1612.0,251,261,248.5,35
11382,0,61809,61825,2670.0,458,490,455.0,373
11382,1,61825,61785,851.0,146,157,145.0,373
11382,2,61785,61789,2386.0,410,442,405.0,373
11382,3,61789,72760,3691.0,633,685,627.0,373
11382,4,72760,61595,1090.0,187,202.0,185,373
11382,5,61595,61556,4278.0,735,798,727.0,373
11382,6,61556,61570,575.0,98,108,97.0,373
11382,7,61570,61606,815.0,140,153,138.5,373
11382,8,61606,61471,4113.0,706,773.0,696,373
11382,9,61471,73547,1842.0,316,349.0,312,373
11382,10,73547,61492,411.0,71,77,70.0,373
11382,11,61492,61475,650.0,111,123.0,110,373
11382,12,61475,61501,557.0,96,105,95.0,373
11382,13,61501,73227,1066.0,183,202.0,180,373
11453,0,61235,61250,1270.0,178.0,180,164,56
11453,1,61250,61224,1319.0,185.0,187.0,171.0,56
11453,2,61224,61205,568.0,80.0,80,74,56
11453,3,61205,61199,381.0,54.0,54,50,56
11453,4,61199,61143,732.0,102.0,104,95,56
11453,5,61143,61243,733.0,103.0,104.0,96.0,56
11453,6,61243,61191,1165.0,164.0,165,153,56
11453,7,61191,61554,10200.0,1431.0,1446.0,1372.5,56
11453,8,61554,61290,4151.0,583.0,588,574,56
11453,9,61290,61849,776.0,109.0,110.0,107.5,56
11453,10,61849,61844,613.0,86.0,87.0,85.0,56
11463,0,61238,72936,1124.0,154,157,149.5,9
11463,1,72936,61197,1944.0,266,272,258.5,9
11463,2,61197,61242,1485.0,204,207,197.5,9
11463,3,61242,61189,1146.0,157,160,152.5,9
11463,4,61189,61173,2433.0,333,336.5,322,9
11463,5,61173,61566,1347.0,185,186.5,178,9
11463,6,61566,62032,878.0,120,121.5,116,9
11463,7,62032,61608,1598.0,219,221.0,212,9
11463,8,61608,61615,2274.0,312,312,302.5,9
11463,9,61615,61546,737.0,101,101,97.5,9
11463,10,61546,61599,2579.0,353,353,343.0,9
11463,11,61599,61729,1099.0,150,150,146.5,9
11463,12,61729,61739,3690.0,506,506.0,488,9
11488,0,73235,52733,0.0,219.0,,219.0,44
11488,1,52733,53036,0.0,54.0,,54.0,44
11488,2,53036,53037,0.0,53.0,,53.0,44
11488,3,53037,53014,0.0,99.0,,99.0,44
11488,4,53014,73769,73.0,179.0,,179.0,44
11488,5,73769,73770,442.0,70.0,,70.0,44
11488,6,73770,73235,0.0,511.0,,511.0,44
11627,0,61436,61425,618.0,106.0,118,105,568
11627,1,61425,61457,629.0,107.0,121,106,568
11627,2,61457,61413,794.0,136.0,152,135,568
11627,3,61413,61416,1237.0,211.0,236,210,568
11627,4,61416,61461,749.0,128.0,144,127,568
11627,5,61461,61429,1079.0,184.0,206,182,568
11627,6,61429,61421,601.0,103.0,115.5,102.0,568
11627,7,61421,61452,790.0,135.0,152,134,568
11627,8,61452,73908,696.0,119.0,134.5,118.0,568
11627,9,73908,73599,873.0,149.0,170.0,148.0,568
11627,10,73599,61469,272.0,47.0,52,46,568
11627,11,61469,61445,549.0,93.0,107,93,568
11627,12,61445,61448,457.0,78.0,89,78,568
11627,13,61448,61511,722.0,123.0,140,122,568
11627,14,61511,73572,908.0,155.0,176,154,568
11712,0,61690,73777,2745.0,557,602,551.0,667
11712,1,73777,61630,2120.0,430,466.0,426,667
11712,2,61630,61676,1271.0,258,279.5,255,667
11712,3,61676,61697,1725.0,349,379.0,346,667
11712,4,61697,61700,1551.0,315,340,312.0,667
11712,5,61700,61591,2215.0,449,486,444.0,667
11712,6,61591,61705,481.0,98,105,97.0,667
11712,7,61705,61650,764.0,155,168,153.0,667
11712,8,61650,61292,441.0,89,96,89.0,667
11712,9,61292,61849,698.0,142,153,140.0,667
11712,10,61849,61845,632.0,128,139.0,127,667
11724,0,61688,73777,2885.0,564.0,622.5,556.0,332
11724,1,73777,61630,2120.0,415.0,462.0,408.0,332
11724,2,61630,61658,466.0,91.0,103,90,332
11724,3,61658,61676,805.0,158.0,178,155,332
11724,4,61676,61668,465.0,91.0,103.0,90.0,332
11724,5,61668,61697,1260.0,247.0,278.0,242.0,332
11724,6,61697,61623,782.0,153.0,173,151,332
11724,7,61623,61589,2913.0,570.0,644,561,332
11724,8,61589,61292,1757.0,343.0,391,339,332
11724,9,61292,61953,712.0,140.0,158.5,137.0,332
11724,10,61953,61984,588.0,115.0,132.0,113.0,332
11724,11,61984,62316,585.0,114.0,131.5,113.0,332
11725,0,62316,61986,792.0,168.5,200.5,162.0,176
11725,1,61986,61957,638.0,136.0,162.0,130.0,176
11725,2,61957,61288,847.0,180.0,214.0,173.0,176
11725,3,61288,61587,1684.0,358.5,427.0,344.0,176
11725,4,61587,61619,2984.0,635.5,751.5,610.0,176
11725,5,61619,61694,698.0,148.0,175,144,176
11725,6,61694,61660,1268.0,270.0,317.5,261.0,176
11725,7,61660,61670,468.0,99.5,116.0,96.0,176
11725,8,61670,61652,801.0,171.0,198,166,176
11725,9,61652,61627,621.0,132.0,153,129,176
11725,10,61627,73775,1965.0,418.5,484.5,406.0,176
11725,11,73775,61688,2281.0,485.5,559,473,176
11747,0,62011,61753,876.0,154.0,171.0,152.0,578
11747,1,61753,61741,882.0,155.0,173,154,578
11747,2,61741,61760,1020.0,179.0,200,177,578
11747,3,61760,61769,579.0,101.0,113,101,578
11747,4,61769,61720,911.0,160.0,180,159,578
11747,5,61720,61733,527.0,93.0,104,91,578
11747,6,61733,61748,643.0,113.0,127.0,112.0,578
11747,7,61748,61745,695.0,122.0,137,121,578
11747,8,61745,61764,1839.0,322.0,364,320,578
11747,9,61764,61727,519.0,91.0,103.0,90.0,578
11747,10,61727,61595,1024.0,180.0,202.0,178.0,578
11747,11,61595,61578,789.0,139.0,157.0,138.0,578
11747,12,61578,61548,875.0,153.0,173.5,152.0,578
11747,13,61548,61544,992.0,174.0,198.0,172.0,578
11747,14,61544,62026,636.0,112.0,127,111,578
11747,15,62026,61558,1059.0,186.0,213.0,184.0,578
11747,16,61558,61570,502.0,88.0,100.0,88.0,578
11747,17,61570,61604,743.0,130.0,149.0,129.0,578
11747,18,61604,61533,1023.0,180.0,204.0,178.0,578
11747,19,61533,62020,632.0,111.0,126,110,578
11747,20,62020,61509,967.0,170.0,191.5,168.0,578
11747,21,61509,73572,982.0,172.0,194.5,171.0,578
11747,22,73572,61217,598.0,105.0,118,104,578
11853,0,61215,61521,827.0,141,151,138.0,573
11853,1,61521,61507,818.0,139,150.5,137,573
11853,2,61507,62034,988.0,169,183,165.0,573
11853,3,62034,61542,542.0,92,100.0,91,573
11853,4,61542,61610,1053.0,179,196,176.0,573
11853,5,61610,61572,743.0,127,140.0,124,573
11853,6,61572,61560,503.0,86,96,84.0,573
11853,7,61560,61614,1045.0,178,200.0,175,573
11853,8,61614,73536,713.0,121,136,119.0,573
11853,9,73536,61552,851.0,145,162.5,143,573
11853,10,61552,61581,1007.0,172,192.5,168,573
11853,11,61581,73814,806.0,137,154.0,135,573
11853,12,73814,61729,951.0,162,182.0,159,573
11853,13,61729,61767,498.0,85,95.5,83,573
11853,14,61767,61746,1837.0,313,352.0,307,573
11853,15,61746,61751,694.0,118,133,116.0,573
11853,16,61751,61737,591.0,101,113.0,99,573
11853,17,61737,61723,575.0,98,112.0,96,573
11853,18,61723,61770,910.0,155,175,152.0,573
11853,19,61770,61763,577.0,98,110.5,97,573
11853,20,61763,61742,1025.0,175,199.0,171,573
11853,21,61742,61754,883.0,150,168,148.0,573
11853,22,61754,62011,581.0,99,112.0,97,573
11856,0,61521,61505,742.0,127,142,126.0,603
11856,1,61505,61447,865.0,148,166,146.0,603
11856,2,61447,61443,511.0,87,98,87.0,603
11856,3,61443,61466,506.0,86,97.0,86,603
11856,4,61466,73600,280.0,48,54.0,47,603
11856,5,73600,61438,791.0,135,152,134.0,603
11856,6,61438,61451,763.0,131,146.0,130,603
11856,7,61451,61418,794.0,135,153.0,134,603
11856,8,61418,61426,600.0,103,115,102.0,603
11856,9,61426,61458,1069.0,182,205.0,181,603
11856,10,61458,61415,758.0,130,145,129.0,603
11856,11,61415,61410,1256.0,214,241.0,213,603
11856,12,61410,61454,788.0,135,151.0,133,603
11856,13,61454,61422,624.0,107,120,106.0,603
11856,14,61422,61436,1068.0,182,205.0,181,603
11868,0,62034,61539,409.0,66.0,89.0,64.0,484
11868,1,61539,61610,1186.0,189.0,258,186,484
11868,2,61610,61614,2291.0,367.0,492,360,484
11868,3,61614,73536,713.0,114.0,145,112,484
11868,4,73536,61554,926.0,148.0,182,145,484
11868,5,61554,61717,2866.0,459.0,554.0,449.0,484
11868,6,61717,61699,904.0,145.0,172,142,484
11868,7,61699,61672,3370.0,539.0,640.0,529.0,484
11868,8,61672,61626,1276.0,205.0,240,202,484
11868,9,61626,61709,723.0,116.0,135,114,484
11868,10,61709,61687,3693.0,591.0,674.5,582.0,484
11875,0,61143,61189,1842.0,290.5,333.0,275.5,108
11875,1,61189,61169,2283.0,360.5,412,340,108
11875,2,61169,61254,908.0,143.0,163,136,108
11875,3,61254,61159,552.0,87.5,100,82,108
11875,4,61159,61213,322.0,50.5,58,48,108
11875,5,61213,61672,15356.0,2422.5,2777.0,2290.0,108
11875,6,61672,61654,799.0,126.0,145,119,108
11875,7,61654,61624,322.0,51.0,59.0,48.0,108
11875,8,61624,61711,955.0,151.0,173.0,143.0,108
11875,9,61711,73775,1234.0,194.5,224.0,184.0,108
11875,10,73775,61692,2382.0,375.5,432.0,357.0,108
11876,0,61735,61727,3623.0,603.0,603,545,24
11876,1,61727,73813,952.0,159.0,159.0,143.0,24
11876,2,73813,73535,2649.0,441.0,441.0,399.0,24
11876,3,73535,62026,715.0,119.0,119.0,107.5,24
11876,4,62026,61604,2304.0,383.0,383.0,345.0,24
11876,5,61604,62017,1580.0,263.0,263,235,24
11876,6,62017,61564,1211.0,202.0,202,181,24
11876,7,61564,61175,1101.0,183.0,183.0,,24
11876,8,61175,61193,2375.0,395.0,395.0,,24
11876,9,61193,61248,1204.0,201.0,201.0,,24
11876,10,61248,61201,1202.0,200.0,200.0,,24
11876,11,61201,74098,2146.0,357.0,357.0,,24
11876,12,74098,61238,1466.0,244.0,244.0,,24
11885,0,61807,61805,1375.0,302,330,302.0,581
11885,1,61805,61775,599.0,132,144.5,132,581
11885,2,61775,61825,838.0,184,201,184.0,581
11885,3,61825,61784,802.0,176,194.0,176,581
11885,4,61784,61812,597.0,132,144,132.0,581
11885,5,61812,61801,844.0,185,203.0,185,581
11885,6,61801,61816,696.0,153,168.0,153,581
11885,7,61816,61788,239.0,53,57.0,53,581
11885,8,61788,61796,738.0,162,178.0,162,581
11885,9,61796,61793,691.0,152,166,152.0,581
11885,10,61793,74180,1358.0,298,328.0,298,581
11885,11,74180,74161,1242.0,273,299,273.0,581
11885,12,74161,61861,1945.0,428,468.0,428,581
11885,13,61861,61897,751.0,165,181.0,165,581
11885,14,61897,61869,656.0,144,158.0,144,581
11885,15,61869,61876,824.0,181,199.0,181,581
11907,0,61433,61424,887.0,129,130.0,128,219
11907,1,61424,61456,625.0,90,92.0,90,219
11907,2,61456,61460,2777.0,402,407.0,401,219
11907,3,61460,61453,2589.0,376,379.0,374,219
11907,4,61453,73908,637.0,92,93.5,92,219
11907,5,73908,61445,1694.0,245,249.0,244,219
11907,6,61445,61572,3829.0,555,562.0,553,219
11907,7,61572,61615,1461.0,212,215,211.0,219
11907,8,61615,61554,1726.0,250,254.5,249,219
11907,9,61554,61766,3130.0,453,460,452.0,219
11907,10,61766,61750,2526.0,366,373,364.0,219
11907,11,61750,61739,723.0,105,107,105.0,219
11907,12,61739,61771,1475.0,214,218.0,213,219
11907,13,61771,62010,2941.0,426,434.0,424,219
11908,0,62010,61768,3365.0,498,511.0,497,185
11908,1,61768,61735,1568.0,233,239,231.0,185
11908,2,61735,61749,629.0,93,95.0,93,185
11908,3,61749,61765,2532.0,375,385,374.0,185
11908,4,61765,61550,3232.0,479,492.0,477,185
11908,5,61550,62029,1620.0,240,248.0,239,185
11908,6,62029,61568,1412.0,209,216.0,208,185
11908,7,61568,61442,3845.0,570,589.0,568,185
11908,8,61442,73907,1711.0,253,262.0,252,185
11908,9,73907,61450,631.0,94,97.0,93,185
11908,10,61450,61459,2579.0,382,396.0,381,185
11908,11,61459,61455,2802.0,415,430.0,413,185
11908,12,61455,61423,624.0,92,96.0,92,185
11908,13,61423,61433,688.0,102,106.0,102,185
11909,0,61837,73875,0.0,356,369.5,353,151
11909,1,73875,61828,0.0,275,287.5,270,151
11909,2,61828,61842,0.0,83,87,82.0,151
11909,3,61842,61823,0.0,124,130.5,123,151
11909,4,61823,61813,0.0,250,262.0,246,151
11909,5,61813,61817,0.0,253,266.0,249,151
11909,6,61817,61793,0.0,262,275.0,259,151
11909,7,61793,72759,0.0,369,385,363.0,151
11909,8,72759,61576,0.0,306,320.5,301,151
11909,9,61576,73535,0.0,305,318.0,299,151
11909,10,73535,62026,0.0,116,122.0,115,151
11909,11,62026,61605,0.0,386,402.0,379,151
11909,12,61605,61446,0.0,403,422.0,396,151
11909,13,61446,61466,0.0,176,183,172.0,151
11909,14,61466,73600,0.0,46,48,45.0,151
11909,15,73600,61438,0.0,129,135,127.0,151
11909,16,61438,61451,0.0,125,131,122.5,151
11909,17,61451,61426,0.0,228,238.0,223,151
11909,18,61426,61454,0.0,633,665,616.5,151
11909,19,61454,61422,0.0,102,107.0,100,151
11910,0,61432,61425,0.0,156.0,162.5,153.0,212
11910,1,61425,61457,0.0,99.0,103.0,96.0,212
11910,2,61457,61429,0.0,606.0,631,593,212
11910,3,61429,61452,0.0,219.0,227.5,213.5,212
11910,4,61452,61441,0.0,121.0,127.0,118.5,212
11910,5,61441,73599,0.0,125.0,130,122,212
11910,6,73599,61469,0.0,43.0,44.0,42.0,212
11910,7,61469,61449,0.0,167.0,174.0,163.0,212
11910,8,61449,61610,0.0,404.0,419,395,212
11910,9,61610,61614,0.0,360.0,373,353,212
11910,10,61614,61546,0.0,102.0,106.0,100.0,212
11910,11,61546,61582,0.0,305.0,315,298,212
11910,12,61582,72761,0.0,295.0,305.0,289.0,212
11910,13,72761,61790,0.0,351.0,361.0,344.0,212
11910,14,61790,61814,0.0,253.0,261,247,212
11910,15,61814,61810,0.0,243.0,249.0,237.0,212
11910,16,61810,61819,0.0,233.0,239.0,228.0,212
11910,17,61819,61841,0.0,129.0,132.0,127.0,212
11910,18,61841,61826,0.0,79.0,81.0,77.0,212
11910,19,61826,73874,0.0,273.0,280,267,212
11910,20,73874,61837,0.0,237.0,243,232,212
11913,0,61435,61424,634.0,95,97,91.0,35
11913,1,61424,73575,456.0,68,69,65.0,35
11913,2,73575,61428,4027.0,601,614,574.0,35
11913,3,61428,73908,2145.0,320,324.0,307,35
11913,4,73908,73599,873.0,130,133,125.5,35
11913,5,73599,61448,1278.0,191,193.5,186,35
11913,6,61448,61871,7792.0,1163,1178.0,1133,35
11913,7,61871,61865,3630.0,541,554,527.0,35
11913,8,61865,61925,2283.0,341,348.0,332,35
11914,0,61427,73574,3966.0,575.0,594,492,34
11914,1,73574,61423,529.0,76.5,79.5,66.0,34
11914,2,61423,61435,941.0,136.5,141.5,118.5,34
11932,0,61208,61199,1782.0,279,279.5,243,35
11932,1,61199,61256,5823.0,911,913.5,796,35
11932,2,61256,61156,228.0,36,36,30.5,35
11932,3,61156,61212,566.0,88,89,76.0,35
11932,4,61212,61507,1725.0,270,271,231.0,35
11932,5,61507,61443,1418.0,222,223.0,187,35
11932,6,61443,61438,1577.0,247,248.0,207,35
11932,7,61438,61451,763.0,120,120.0,100,35
11932,8,61451,61410,4477.0,700,704,588.0,35
11932,9,61410,61454,788.0,124,124.5,104,35
11932,10,61454,61422,624.0,97,98.5,82,35
11932,11,61422,61430,548.0,86,86.5,72,35
12030,0,73237,61889,870.0,146,152,145.0,347
12030,1,61889,61894,756.0,127,132,125.0,347
12030,2,61894,61916,2373.0,399,414,395.0,347
12030,3,61916,61858,529.0,89,92,87.0,347
12030,4,61858,62304,573.0,96,100.0,96,347
12030,5,62304,61873,2000.0,336,349.0,332,347
12030,6,61873,61865,1416.0,238,247.0,235,347
12030,7,61865,61957,1876.0,315,328.0,312,347
12030,8,61957,61994,635.0,107,110.0,106,347
12030,9,61994,61932,993.0,167,174,165.0,347
12030,10,61932,61951,538.0,90,93.0,89,347
12030,11,61951,61937,1186.0,200,207,197.0,347
12030,12,61937,61981,581.0,97,102.0,97,347
12030,13,61981,61966,1921.0,323,335.0,319,347
12066,0,73323,74224,0.0,677,725.0,660,203
12066,1,74224,61785,0.0,541,580.0,520,203
12066,2,61785,61813,0.0,123,131,117.0,203
12066,3,61813,74074,0.0,146,157.0,141,203
12066,4,74074,61817,0.0,166,178,160.0,203
12066,5,61817,74159,0.0,865,928.0,831,203
12066,6,74159,74192,0.0,181,194.0,174,203
12066,7,74192,74239,0.0,819,877,787.0,203
12066,8,74239,73571,0.0,427,459.0,411,203
12066,9,73571,61471,0.0,525,563,504.0,203
12066,10,61471,61513,0.0,149,159,143.0,203
12066,11,61513,73779,0.0,59,63,56.0,203
12066,12,73779,61494,0.0,286,308,276.0,203
12066,13,61494,61530,0.0,310,332,297.0,203
12066,14,61530,73224,0.0,111,119,107.0,203
12067,0,73224,61532,0.0,138,148.5,126,231
12067,1,61532,61496,0.0,322,349,294.5,231
12067,2,61496,73780,0.0,287,311.0,261,231
12067,3,73780,61515,0.0,72,78.0,65,231
12067,4,61515,61473,0.0,153,166.0,139,231
12067,5,61473,73570,0.0,529,574.0,481,231
12067,6,73570,74238,0.0,455,494.5,415,231
12067,7,74238,74191,0.0,849,920,772.0,231
12067,8,74191,74162,0.0,205,223,187.0,231
12067,9,74162,61814,0.0,881,960.0,806,231
12067,10,61814,74075,0.0,173,189,160.0,231
12067,11,74075,61810,0.0,150,164.0,140,231
12067,12,61810,61776,0.0,127,138,118.0,231
12067,13,61776,74225,0.0,566,614.0,525,231
12067,14,74225,73323,0.0,583,628,542.0,231
12070,0,61630,61676,1271.0,297.0,298,257,12
12070,1,61676,61697,1725.0,404.0,405,350,12
12070,2,61697,61700,1551.0,362.5,364.0,314.0,12
12070,3,61700,61591,2215.0,518.5,520.0,448.0,12
12070,4,61591,61705,481.0,112.5,113,98,12
12070,5,61705,61650,764.0,178.5,179,154,12
12070,6,61650,61292,441.0,103.5,104,90,12
12070,7,61292,61849,698.0,163.5,164,141,12
12070,8,61849,61845,632.0,147.5,147.5,,12
12297,0,61971,61940,0.0,241,283,224.0,487
12297,1,61940,61975,0.0,161,189,150.0,487
12297,2,61975,61926,0.0,506,596.0,471,487
12297,3,61926,61984,0.0,515,609.5,478,487
12297,4,61984,71675,0.0,1369,1633.0,1276,487
12297,5,71675,71596,0.0,327,394.5,304,487
12297,6,71596,71597,0.0,122,147.0,113,487
12297,7,71597,71598,0.0,176,213.5,163,487
12297,8,71598,71676,0.0,145,175,136.0,487
12297,9,71676,71678,0.0,84,102.0,78,487
12297,10,71678,71681,0.0,117,141,108.0,487
12297,11,71681,71683,0.0,100,121,93.0,487
12297,12,71683,71684,0.0,107,130.0,99,487
12297,13,71684,71686,0.0,129,157,120.0,487
12297,14,71686,71688,0.0,93,113.0,86,487
12297,15,71688,71690,0.0,91,111,85.0,487
12297,16,71690,71692,25.0,74,90,68.0,487
12297,17,71692,71694,667.0,150,184.0,140,487
12297,18,71694,71696,481.0,109,132,101.0,487
12297,19,71696,71505,1185.0,267,326.5,249,487
12297,20,71505,71701,291.0,66,80.0,61,487
12297,21,71701,71706,583.0,132,161.0,122,487
12297,22,71706,71506,425.0,96,118.0,89,487
12297,23,71506,71702,389.0,87,107.5,82,487
12297,24,71702,71507,380.0,86,105.5,79,487
12297,25,71507,71508,790.0,178,219,166.0,487
